编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期,预测行业
1166,中国电子系统工程第三建设有限公司,深桑达A,建筑安装业,电气工程师,上海,11000.0,13000.0,岗位职责 1、负责本专业现场管理相关工作； 2、负责本专业的施工图纸审核、优化、统计工程量等工作； 3、负责向采购部提供材料申请单并确认主要技术参数； 4、协调和处理业主，建立和施工等各单位工作； 5、负责施工材料，隐蔽工程和施工过程中品质和检查验收工作； 6、做好与设计院或公司内设计部门的沟通协调工作； 7、完成领导安排的其他工作。 任职资格 1.岗位相关专业，统招本科学历； 2.具有2年以上电子洁净厂房、医药净化厂房、数据中心等机电安装项目施工管理经验； 3.具有图纸深化设计能力优先考虑； 4.能够熟练使用CAD、OFFICE等软件，会使BIM技术优先考虑； 5.有较强的责任心、团队协作能力、沟通表达能力和学习能力； 6.身体健康； 7.能够跟项目全国各地走。,本科,2年及以上,建筑/建材/工程,2026-02-14,2026-04-14,销售/市场/客服
1167,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,行政/资料(派驻项目),武汉,5000.0,6000.0,工作职责: 1.负责项目部各类文件资料的收集、整理、有序建档及归档； 2.负责项目部各类会议的组织以及会议纪要的记录、整理、归档； 3.负责项目部就近宿舍的租赁管理；并根据公司宿舍管理的要求对项目部员工宿舍实施日常管理； 4.根据公司财务管理的要求，负责项目部各类费用报销、以及各类现金、备用金的收支管理； 5.负责项目部员工的考勤管理、根据项目工作计划，以及调整项目部员工的排班计划； 6.负责项目部办公设备、物品、器材的维护及定期盘点；以及项目部员工办公用品的采购，分发； 7.负责项目部车辆管理，以及员工上班班车辆接送安排； 8.根据工程物资的管理要求，负责项目部工程材料的入库、出库记录； 9.负责项目部文化宣传素材、图片示例收集、稿件撰写等； 10.协助办理并维护企业在各地政府部门的项目备案； 11.上级安排的其他各项工作。 任职资格: 任职资格 1.专科以上学历，年龄25~40岁之间，性别不限； 2.具备2年左右施工企业项目现场行政工作经历优先考虑； 3.工作细致、有责任心、具备良好团队合作、沟通协调能力；,大专,2年及以上,建筑/建材/工程,2026-02-04,2026-04-04,金融
1168,中国电子系统工程第三建设有限公司,深桑达A,建筑安装业,电气工程师,厦门,10000.0,13000.0,岗位职责 1、负责本专业现场管理相关工作； 2、负责本专业的施工图纸审核、优化、统计工程量等工作； 3、负责向采购部提供材料申请单并确认主要技术参数； 4、协调和处理业主，建立和施工等各单位工作； 5、负责施工材料，隐蔽工程和施工过程中品质和检查验收工作； 6、做好与设计院或公司内设计部门的沟通协调工作； 7、负责洁净厂房建设过程中高压电气部分的施工监督，协调施工单位、监理单位和业主之间的技术对接等~。 任职资格 1.岗位相关专业，统招本科学历； 2.具有2年以上电子洁净厂房、医药净化厂房、数据中心等机电安装项目施工管理经验； 3.具有图纸深化设计能力优先考虑； 4.能够熟练使用CAD、OFFICE等软件，会使BIM技术优先考虑； 5.有较强的责任心、团队协作能力、沟通表达能力和学习能力； 6.身体健康； 7.能够跟项目全国各地走华南一带（广州、福建、上海、）。,本科,2年及以上,建筑/建材/工程,2026-02-14,2026-04-14,销售/市场/客服
1169,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,施工工程师（机械暖通、电气）,广州,10000.0,18000.0,岗位职责： 1.负责对施工项目上的各项管理制度进行全面实施，与过程控制、管理； 2.严格履行与业主方签订的合同；制定与规划项目管理目标，并进行阶段性目标控制，确保项目目标的实现； 3.负责编制项目质量计划、项目管理实施规划、以及工程设计变更、概预算调整、索赔等； 4.负责对项目部的人力、材料、设备、资金、技术、信息等生产要素进行优化配置与动态管理； 5.负责与业主、监理、设计、分包单位、及政府部门的沟通与协调； 6.负责项目关闭时与分包单位的决算工作； 7.完成领导安排的其它工作。 任职资格 1.大专及以上学历； 2.有3年以上洁净厂房现场施工管理经验； 3.具备管道、电气、通风、结构等专业知识；了解机电安装施工技术； 4.了解招投标流程、投标文件制作、工程造价预算； 5.熟练编制施工组织设计、施工进度计划、人力计划等施工文件； 6.具有良好团队管理、协调能力、沟通技巧与语言表达能力； 7.身体健康无疾病者。。,大专,5年及以上,建筑设备安装,2026-01-04,2026-03-04,生产制造/汽车
1170,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,暖通工程师,广州,11000.0,15000.0,1、负责工程项目前期投标文件的编制、技术把关，投标过程的参与； 2、负责项目施工过程中方案的编制，按图提取材料计划单，设备材料采购过程中技术参数的核对、确认，采购计划把控； 3、负责施工队伍的管理，施工任务的安排、协调； 4、编制本专业的进度计划； 5、负责施工过程中项目变更的申报、管理、跟踪等工作； 6、负责施工过程中本专业技术方案制定，技术交底、跟踪落实； 7、负责施工现场中涉及本专业工作的质量监督、检查、整改跟踪工作； 8、负责施工现场与业主、管理公司、监理公司的沟通、协调工作； 9、领导交代的其他工作事项。 任职要求： 1、统招本科及以上学历，具有3年及以上相关工作经验； 2、专业要求： 暖通：建筑环境与设备工程、供热通风与空气调节、供热空调与燃气工程、热能与动力工程等相关专业 3、吃苦耐劳，愿意接受工作地点调配，能长期常驻项目； 4、有类似机电安装工程、洁净厂房工程、电子厂房、石化项目等工作经验优先考虑。,本科,3年及以上,建筑/建材/工程,2026-01-14,2026-03-14,生产制造/汽车
1171,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,智能化弱电项目经理,无锡,12000.0,20000.0,岗位内容： 1. 负责半导体、面板或其他行业厂房弱电系统的设计、调试、维护和运营管理； 2. 制定项目计划和进度，负责项目技术沟通和协调； 3. 完成项目验收、结算和交接，并协助客户解决技术问题； 4.负责整体项目管控和客户营销工作。 任职要求： 1. 熟练掌握各种弱电产品的原理和参数，对弱电产品的选型、采购、调试有一定的经验； 2. 熟悉弱电系统的规划、设计、施工及工程验收流程和标准； 3. 具备良好的沟通表达能力，能够有效解决项目中出现的突发问题； 4. 认真细致、责任心强、能够承受工作压力； 5. 可以适应一定的出差。,本科,5年及以上,建筑/建材/工程,2026-01-04,2026-03-04,生产制造/汽车
1172,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,管道主管/工程师,广州,10833.0,15000.0,厂房管道工程的全流程管理，包括施工计划制定、进度跟踪、资源配置及现场协调。 监督管道安装、焊接、试压、防腐保温等关键工序的质量，确保符合设计图纸、技术规范及国家标准。 组织隐蔽工程验收、分部分项工程验收及竣工验收，确保工程顺利交付。 2、技术指导 审核管道施工方案、技术交底文件，解决施工中的技术难题。 熟悉工业管道（如工艺管道、给排水、消防、暖通等）的施工规范及材料选型要求。 指导施工团队处理管道系统调试、试运行及故障排查。 3、安全管理 落实安全生产制度，监督现场安全措施（如高空作业、动火作业、受限空间作业）的执行。 组织安全教育培训，预防施工中的人员伤害、设备损坏及环境污染事故。 4、协调沟通 与业主、设计单位、监理单位及供应商保持沟通，协调解决施工中的问题。 管理施工班组、材料供应商及第三方检测单位，确保资源及时到位。 5、成本与资料管理 控制工程成本，审核材料用量及采购计划，避免浪费。 整理施工过程资料（如施工日志、变更签证、检测报告、竣工资料等），确保资料完整可追溯。 岗位要求 1、教育背景 管道工程、暖通、机械工程、化工工程或相关专业。 2、工作经验 3年以上电子半导体工业厂房管道施工管理经验，熟悉电子厂房等领域的管道系统。 具备大型EPC项目或工业厂房项目全周期管理经验。 3、专业技能 精通管道施工工艺（如焊接、无损检测、压力试验等），熟悉相关标准（如GB、ASME、API）。 熟练使用CAD、Revit等绘图软件及项目管理工具（如Project）。 持有建造师（机电工程专业）、PMP证书者优先。 4、个人素质 具备较强的现场管理能力、抗压能力及突发事件处理经验。 良好的沟通协调能力，能适应工地现场工作环境及阶段性高强度工作。 责任心强，注重细节，熟悉ISO质量管理体系及EHS管理要求。 5、地点 能接受全国范围项目上的指派地点；,本科,5年及以上,建筑/建材/工程,2026-01-14,2026-03-14,生产制造/汽车
1173,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,行政主管,广州,8000.0,12000.0,岗位职责： 负责党支部日常工作，协助上级领导完成公司党建、党风廉政建设工作及党支部日常事务性工作，制定完善相关制度和管理台账。 主要任务和职责 1、协助领导做好公司党建、党风廉政建设工作及党支部日常事务性工作，制定完善相关制度和管理台账； 2、筹备公司党支部的会务工作，包括准备“三会一课”、主题党日、专题理论学习及民主生活会等会议资料； 3、负责公司党建宣传工作，结合时政情况布置和定期更新公司宣传栏内容； 4、作为公司“学习强国”学习平台管理员，负责做好“学习强国”学习平台宣传推广工作； 5、负责党费收缴、党员发展，党员教育培训，党员信息管理等日常性工作； 6、配合领导完善本岗位职能职责，完成党支部及上级部门交办的其他工作。 7、负责大区伙食补贴等其他行政事项； 岗位要求： 1、汉语言文学、行政管理、思想政治类、新闻传播等相关专业，共产党员优先； 2、有国企/事业单位/中外合资党工工作经验人员优先；。,本科,5年及以上,建筑/建材/工程,2026-02-17,2026-04-17,金融
1174,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,工程项目英语翻译,广州,13000.0,25000.0,【工作内容】 - 负责工程项目相关文件、技术资料及合同的英文翻译与校对； - 协助项目团队进行中外沟通，提供语言支持； - 参与项目会议，进行现场口译及会议纪要整理； - 确保翻译内容准确、专业，符合行业标准。 【任职要求】 - 英语专业或相关专业，八级具备良好的英语听说读写能力； - 熟悉工程项目术语，有相关领域翻译经验者5年以上工作经历优先； - 具备较强的责任心和沟通能力，能够适应多任务及项目工作环境； 项目工作地：驻外，2026年初10过去，为期8-10个月项目翻译工作；包吃住；,本科,经验不限,建筑/建材/工程,2026-01-14,2026-03-14,互联网/软硬件技术
1175,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,工业设计师(J10600),无锡,9000.0,15000.0,工作职责: 负责模块化洁净产品（如洁净室、实验室设备）的工业造型及外观设计。 将产品的BIM模型进行高质量可视化渲染，呈现精密、专业的工业产品效果。 输出用于市场营销、客户方案的产品渲染图、细节图及动态演示素材。 参与跨部门协作，确保设计在美学、功能和可制造性之间的平衡。 任职资格: 本科及以上学历，工业设计、产品设计相关专业背景。 具备将BIM模型转化为高质量产品渲染图的能力，熟练使用相关渲染工具。 有模块化产品、洁净设备或精密仪器类设计经验者优先。 具备良好的审美、沟通能力及团队协作精神 英语流利者优先,本科,3年及以上,建筑/建材/工程,2026-01-12,2026-03-12,销售/市场/客服
1176,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,建筑电气设计,无锡,10000.0,18000.0,岗位职责： 1.能独立负责工业等类型建筑的强弱电系统施工图、方案图设计制图； 2.配合项目设计经理，根据项目要求，能独立承担建筑电气设计类软件图纸绘制工作； 3.配合业主完成设计修改工作； 4.完成公司和领导交办的其他工作。 岗位要求： 1.建筑电气、电气工程及其自动化等相近专业本科及以上学历； 2.5年及以上工作经验，有相关设计院电气设计经验，能独立完成工业洁净厂房施工图设计者优先考虑； 3.学习能力强，有责任心，能吃苦，具有良好的沟通、协调能力和团队精神； 4.熟练掌握建筑电气设计类软件； 5.必须持有中级职称；持注册电气工程师证书的优先考虑。,本科,5年及以上,建筑/建材/工程,2026-01-29,2026-03-29,生产制造/汽车
1177,圣晖系统集成集团股份有限公司,圣晖集成,建筑安装业,报关专员,苏州,6000.0,9000.0,岗位职责： 1、操作各类进出口单证，熟悉整个进出口报关流程；负责进出口清关业务的单证制作，组织协调整个货物运输至东南亚等地事宜； 2、熟练出口通关货物的单据制作、审核，以及涉及货物运输、通关的相关商务工作； 3、管理运输方式和供应商，分析统计物流报告并核对账单请款，控制业务物流成本； 4、与公司其他部门如采购部门、项目部等沟通配合协作，完成上级主管交办其它事项 5、熟悉海关各项作业法规，运用丰富的出口工作经验解决出口过程中出现的突发问题； 6、协调厂商、海关、货代及报关行办理货物出口相关事宜，确保货物出口、进口作业流畅 ，保证货物进口报关、货物出口到东南亚国家顺利完成； 7、关务资料完善管理和物流成本的合理管控。 任职要求： 1、大专及以上学历，3年及以上进出口工作经验，持有报关员资格证书或采购经验人员优先考虑； 2、熟悉进出口操作，清关相关流程，了解东南亚货物进出口，了解中国海关法和其他相关政府法规； 3、与货代/经纪人及其他内外部相关部门保持良好的沟通，具备良好的人际沟通能力； 4、较强的分析和解决问题的能力，熟练掌握办公应用软件，具备一定的英语能力，能邮件交流； 5、精通关务手册申办、变更、核销经验优先录取； 6、有较强的责任心，能吃苦耐劳，富有团队协作精神。,大专,3年及以上,建筑/建材/工程,2026-01-30,2026-03-30,生产制造/汽车
1178,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,气体化学品工程师,上海,8000.0,9000.0,岗位职责： 1、负责企业的申请报批工作，编制特气/化学品工艺技术方案； 2、负责与设计、施工、监理及公司使用部门等单位的协调、沟通、推进工作，审核、优化气/化设计方案； 3、参加图纸会审、设计交底、监理例会，组织本专业设计协调会，负责本专业工程施工的监督和验收； 4、负责本专业的设计变更、工程洽商、工程签认等的签认工作； 5、编制气化设备管理制度，建立气体设备档案并保管，定期进行气化系统的培训和演练； 6、参加项目气化工程竣工验收和设备移交工作，分析解决气化设备运行时的常见问题，保证气化设备的安全和运行。 任职资格： 1、化学工程与工艺、应用化学、过程装备与控制工程、机械设计与制造等相关专业； 2、熟悉行业基础知识，掌握AutoCAD等制图软件基本操作； 3、具备较强学习能力、沟通能力和团队协作精神； 4、能适应一定工作压力，注重安全合规性，能接受长期驻项目。,本科,经验不限,建筑/建材/工程,2026-02-28,2026-04-28,生产制造/汽车
1179,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,营销经理,上海,1500.0,2500.0,主要负责气体化学品系统的销售工作，全国重要城市都有设置办事处 1.有成功销售气体化学品系统业务的经验 2.了解气体化学品系统工艺走向图 3.了解招投标流程，能独立制作标书 4.了解施工流程，能够和总包、业主对接 5、具备气化行业内客户资源,本科,3年及以上,建筑/建材/工程,2026-02-28,2026-04-28,销售/市场/客服
1180,亚翔系统集成科技（苏州）股份有限公司,亚翔集成,建筑安装业,给排水工程师（设计）,苏州,12000.0,24000.0,岗位要求： 1、本科及以上学历，工程相关专业，给排水、建筑环境、能源动力等专业为佳； 2、2年以上工程相关工作经验，有厂房设计经验优先； 3、熟悉给排水系统、消防水系统设计； 4、可配合适当出差。 主要职责描述： 1、配合业务进行投标点料及工程量清单制作及设备及材料询价； 2、给排水专业专案工程的设计及图面绘制。,本科,2年及以上,建筑/建材/工程,2026-02-25,2026-04-25,生产制造/汽车
1181,中国电子系统工程第三建设有限公司,深桑达A,建筑安装业,暖通工程师,上海,10000.0,20000.0,1、负责本专业现场管理相关工作； 2、负责本专业的施工图纸审核、优化、统计工程量等工作； 3、负责向采购部提供材料申请单并确认主要技术参数； 4、协调和处理业主，建立和施工等各单位工作； 5、负责施工材料，隐蔽工程和施工过程中品质和检查验收工作； 6、做好与设计院或公司内设计部门的沟通协调工作； 7、完成领导安排的其他工作。 任职要求： 1、岗位相关专业，本科以上学历； 2、具有2年以上电子洁净厂房、医药净化厂房、数据中心等机电安装项目施工管理经验； 3、具有图纸深化设计能力优先考虑； 4、能够熟练使用CAD、OFFICE等软件，会使BIM技术优先考虑； 5、有较强的责任心、团队协作能力、沟通表达能力和学习能力； 6、身体健康；,本科,2年及以上,建筑/建材/工程,2026-01-16,2026-03-16,销售/市场/客服
1182,圣晖系统集成集团股份有限公司,圣晖集成,建筑安装业,二次配工程师（武汉）,武汉,7500.0,10000.0,岗位职责： 1. 负责二次配工程设计规划及二次配实施协调管理工作； 2. 负责二次配工程的发包及招标文件制定和清单编制； 3. 参与审定二次配的方案设计图和施工图； 4. 负责二次配施工管理和现场监工； 5. 负责二次配施工规范、操作规程、应急流程等的工程管理文件的编制，更新与落实； 6. 参与二次配工程质量进度、安全、施工、验收评估和实施管理; 7. 负责二次配相关异常处理工作，确保设备生产需求。 任职资格： 1. 统招本科，机电、电气等相关专业。 2. 5年以上精密制造业的二次配工作经验，有电子制造业工厂二次配相关统筹协调、规划、建设经验优先； 3. 熟悉二次配和工程的设计规范、施工规范、验收标准等； 4. 熟悉二次配工作的相关流程及操作，了解二次配现场施工的应急处理流程； 5. 具有良好的沟通和协调问题能力。,本科,5年及以上,建筑/建材/工程,2026-02-05,2026-04-05,生产制造/汽车
1183,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,资深管道工程师（派驻项目）,上海,10000.0,20000.0,工作职责 1.负责项目投标前期技术沟通、技术审核和概念设计 2.负责中标项目的深化、优化设计、施工图设计及审核； 3.负责施工阶段技术指导、交底和答疑、关键设备、材料的技术审核； 4.在工程结束阶段对设备系统调试的指导以及竣工图的审核等 5.上级安排的其他工作。 任职资格 1.本科及以上学历，管道等相关专业； 2.有5年以上洁净机电工程行业（电子、半导体、药品、食品类工业厂房）设计工作经验； 3.熟悉管道相关系统（包括特气，大宗气，排气，纯水，废水等各类系统）设计计算、系统复核分析，能够独立完成相关统设计； 4.对系统设备能独立进行设计、选型；协助采购确定材料设备、材料的技术参数和要求； 5.具有一定的系统测试、调试能力，能够完成系统调试的指导及方案的审核工作； 6.熟练操作绘图软件及其他办公软件； 7.具有良好的沟通、协调能力，勤奋踏实，逻辑思维能强，能适应公司快速发展的工作节奏； 8.能够适应长期随项目出差； 9.身体健康***。,本科,5年及以上,建筑/建材/工程,2026-01-20,2026-03-20,生产制造/汽车
1184,亚翔系统集成科技（苏州）股份有限公司,亚翔集成,建筑安装业,机电造价工程师,苏州,7000.0,13000.0,岗位要求： 1. 本科及以上学历，工程造价及相关专业； 2. 熟练使用工程计价软件(广联达、新点、兴安得力等）; 3.熟悉工程预结算流程，熟悉签证变更流程; 4.具有工程相关行业投标成本编制工作经历。 职位描述： 1.负责收集、整理、汇总历史成本资料: 2.参与相关工程的招投标工作，主持投标成本编制作业; 3.负责项目签证变更文件审核工作: 4.建立和完善项目预算、结算信息资料库: 6.负责项目工程预算书的协作 7.负责工程云成本类信息维护 8.负责请购单成本单价金额填写。,本科,2年及以上,建筑/建材/工程,2026-02-25,2026-04-25,文化传媒/教育/生活服务
1185,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,关务主管,广州,10000.0,15000.0,工作职责 1、负责工程项目物资国际物流发运的统筹策划工作； 2、负责物流合同的询价、谈判、签订及后续服务评价工作； 3、负责项目物资的订舱、集港、装柜、海运、进出口通关、海关查验、内陆运输的管理及异常处理； 4、负责编制全套进出口通关文件并跟进通关的全过程； 5、协助其他部门完成出口退税、减免税的工作，例如提供货物的出口退税率等； 6、完成领导交办的任务。 任职资格 1、国际贸易、物流管理、报关报检等相关专业优先考虑，大专及以上学历； 2、工程公司关务或者新建工厂关务经验（新建工厂的机电、设备、材料出口），对工程材料熟悉优先； 3、东南亚出口经验丰富，能自主制作出口单据； 4、认真细致严谨。,大专,8年及以上,建筑设备安装,2026-02-24,2026-04-24,生产制造/汽车
1186,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,营销经理,上海,1500.0,2500.0,主要负责气体化学品系统的销售工作，全国重要城市都有设置办事处 1.有成功销售气体化学品系统业务的经验 2.了解气体化学品系统工艺走向图 3.了解招投标流程，能独立制作标书 4.了解施工流程，能够和总包、业主对接 5、具备气化行业内客户资源,本科,3年及以上,建筑/建材/工程,2026-02-28,2026-04-28,销售/市场/客服
1187,武汉华康世纪洁净科技股份有限公司,华康洁净,建筑安装业,证照资质管理岗,武汉,8000.0,12000.0,工作职责： 1.能高效对接企业内部行政、人事、财务、业务部门，协调获取资质申报所需的人员、财务、业绩等材料，推动跨部门工作落地； 2.与各级政府审批部门（如住建局、卫健委、市场监管局、科技局等）进行专业、高效地沟通，妥善处理审批过程中的疑问和问题； 3.把控资质申报材料的每一个细节，避免因材料疏漏导致申报失败 4.根据企业发展战略和业务需求，制定年度 / 季度资质证照管理计划，统筹安排资质新增、升级、延续等工作，确保资质与企业业务发展匹配。 5.能独立撰写资质申报书、情况说明、申请报告等正式公文，做到内容严谨、格式规范、逻辑清晰，符合政府部门审批要求。 6.主动排查企业资质证照管理中的潜在风险（如资质过期、条件不符、材料造假、备案遗漏等），制定风险防控措施和应急预案；对资质申报 / 核验中的问题能快速定位，与审批部门沟通协调解决； 7.建立标准化的资质证照档案管理体系，对资质证书、申报材料、审批文件、扫描件等进行分类归档、电子化存储，确保档案完整、可追溯；能搭建资质台账，实时更新资质状态、有效期、年检时间等信息，做到账实相符； 8.及时跟踪国家、省、市各级政府部门关于资质审批、行业合规、政策调整的最新文件，准确解读政策要求，并快速落地到企业资质管理工作中，提前规划资质升级 / 新增布局； 9.熟练掌握企业各类资质、证照、许可、备案的申请、变更、延续、年检、升级、注销流程，能独立准备全套申报材料，把控申报时间节点，确保资质证照有效存续； 任职资格： 1.学历专业：本科及以上学历，行政管理、工商管理、法学、公共事业管理、档案学或做过企业所属核心行业相关专业（如建筑工程、医药管理、信息技术）。 2.工作经验：1-3 年企业资质证照管理、政府项目申报、合规风控相关工作经验，具有同行业资质管理经验；熟悉行业主流资质证照的申请、变更、延续、升级全流程，具有独立操盘大型资质申报 / 维护项目的经验；具备高新技术企业认定、专利转化、政府项目申报等相关经验，能兼顾资质管理与政策申报工作。 3.证书要求：持有办公软件高级应用证书、档案管理相关证书优先，具有企业所属行业专业证书（如建筑八大员、医药从业证、知识产权管理师）者加分；有过海外办理注册工作经验亦可； 4.基础技能：精通 Office 办公套件（Excel 数据整理 / 透视表、Word 排版、PPT 汇报），能熟练使用企业 OA、档案管理系统，具备基础的公文写作能力； 5.具备良好的政企沟通能力、工作细致、严谨，具有强烈的责任心。 6.其他要求：无不良职业记录，熟悉国家及地方关于企业经营、资质审批的基本法律法规，能接受偶尔因资质申报 / 核验的加班和外勤工作。,本科,3年及以上,建筑/建材/工程,2026-03-05,2026-05-05,销售/市场/客服
1188,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,项目安全经理,无锡,10000.0,15000.0,该岗位需要服从国内项目灵活调配： 1. 组织安全文件的编写，安全教育及安全文件的管理； 2. 根据公司安全制度要求对施工现场进行安全监督、检查、指导，并做好安全检查记录； 3. 对不符合安全规范施工的班组及个人进行安全教育、处罚，并及时责令整改； 4. 负责安全预案及改进方案的编制； 5. 正确填报施工现场安全措施检查情况的安全生产报告，定期提出安全生产的情况分析报告的意见； 6. 组织安全检查、安全教育、安全活动和特种作业人员培训和考核； 7. 处理一般性的安全事故； 8. 上级安排的其他工作。 任职资格 1. 40岁以内，统招大专及以上学历， 安全、工民建、建筑和结构类相关专业； 2. 5年以上工程行业安全管理工作经验，对机电安装项目熟悉，具有中级注册安全工程师、NEBOSH IGC优先； 3. 熟悉各项安全法律法规，熟悉生产现场安全工作流程、安全操作规范和安全管理的程序，能够及时发现安全隐患并给予纠正； 4. 熟悉掌握建筑施工生产过程及安全防护消防、临电等相关安全规章、标准和日常安全管理，有高度的责任心； 5. 具有一定的协调、组织和沟通能力； 6. 抗压能力强，能适应长期派驻项目现场； 7. 身体健康***者。,大专,5年及以上,建筑/建材/工程,2026-01-21,2026-03-21,生产制造/汽车
1189,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,项目安全总监,广州,18000.0,25000.0,一、岗位职责 1.组织建立项目安全生产管理体系并制定保证体系运行的具体措施，负责项目安全生产管理机构或组织专职安全生产管理人员的工作开展； 2.组织制定并落实项目全员安全生产责任制度的具体措施，组织实施对项目的安全生产责任制落实情况的监督考核； 3.督促落实项目安全生产标准化建设工作； 4.督促落实项目安全生产规章制度和操作规程； 5.督促落实项目安全生产教育和培训计划； 6.督促项目安全生产投入的有效实施； 7.组织建立并落实安全风险分级管控和隐患排查治理双重预防工作机制； 8.督促、检查项目安全生产工作，及时消除生产安全事故隐患，提出安全生产建议和意见； 9.督促落实项目生产安全事故应急救援工作，组织实施项目应急救援演练； 10.及时、如实报告生产安全事故。 二、任职要求 1.6年以上总承包项目安全管理经验，具有工业厂房全过程项目安全管理经验者优先； 2.具备良好的沟通协调能力和团队合作精神，对工作认真负责，有责任意识； 3.有较强的逻辑思维能力和分析解决问题能力，能够快速度反应和处理突发状况； 4.持有中级注册安全工程师（建筑）资格证和专职安全管理人员C3证书； 5.常驻项目，能够适应项目工作强度和氛围； 6.服从公司工作调派。,本科,8年及以上,建筑/建材/工程,2026-01-14,2026-03-14,生产制造/汽车
1190,柏诚系统科技股份有限公司,柏诚股份,建筑安装业,安全员,无锡,7000.0,10000.0,工作职责: 2026届本科、专科毕业 任职资格: 安全工程、安全技术与管理、建筑消防技术、建筑工程技术等专业 来自：,本科,经验不限,建筑/建材/工程,2026-01-30,2026-03-30,生产制造/汽车
1191,中国电子系统工程第三建设有限公司,深桑达A,建筑安装业,工程销售（电子半导体厂房）,杭州,15000.0,25000.0,一、岗位职责： 1. 负责市场开发，完成销售任务； 2、负责工程项目信息的收集、筛选、跟踪、客户关系维护； 3、负责拓展及维护政府、设计院、工程协会等相关机构关系； 4、负责项目投标时相关资料工作、投标跟踪、谈判； 5、中标后项目执行跟踪； 6、完成直接上级安排的其他工作。 二、任职资格： 1、本科学历以上； 2、年龄28~45岁； 3、3年以上工业厂房建筑工程设计及施工销售经验，具有洁净工程（电子、半导体、面板、医药、食品、数据中心及新能源等）经验者优先； 4、具备较强的沟通、谈判及人际关系拓展与维护能力； 5、爱好销售工作、具有团队精神； 5、熟练办公软件； 6、能接受出差。 职位福利：五险一金、绩效奖金、交通补助、餐补、带薪年假、定期体检、节日福利 （更多数据，详见）,本科,3年及以上,建筑/建材/工程,2026-01-05,2026-03-05,销售/市场/客服
1192,中国电子系统工程第二建设有限公司,深桑达A,建筑安装业,工程施工电气主管,广州,10833.0,15000.0,岗位职责 1、负责工程项目前期投标文件的编制、技术把关，投标过程的参与； 2、负责项目施工过程中方案的编制，按图提取材料计划单，设备材料采购过程中技术参数的核对、确认，采购计划把控； 3、负责施工队伍的管理，施工任务的安排、协调； 4、编制本专业的进度计划； 5、负责施工过程中项目变更的申报、管理、跟踪等工作； 6、负责施工过程中本专业技术方案制定，技术交底、跟踪落实； 7、负责施工现场中涉及本专业工作的质量监督、检查、整改跟踪工作； 8、负责施工现场与业主、管理公司、监理公司的沟通、协调工作； 岗位要求 1、具有5年左右相关工作经验；建筑电气技术、电气技术、电气工程及其自动化等相关专业； 2、有类似机电安装工程、净化厂房工程、电子厂房等工作经验优先考虑；有中建系统或者相关洁净厂房、实验室工作经历者优先； 3、好学上进、做事严谨、责任心强、能适应常驻项目部，能接受全国项目地点调配；,本科,5年及以上,建筑/建材/工程,2026-01-14,2026-03-14,销售/市场/客服
1193,亚翔系统集成科技（苏州）股份有限公司,亚翔集成,建筑安装业,给排水工程师（设计）,重庆,8000.0,16000.0,岗位要求： 1、本科及以上学历，工程相关专业，给排水、建筑环境、能源动力等专业为佳； 2、2年以上工程相关工作经验，有厂房设计经验优先； 3、熟悉给排水系统、消防水系统设计； 4、工作地点为苏州，可配合适当出差。 主要职责描述： 1、配合业务进行投标点料及工程量清单制作及设备及材料询价； 2、给排水专业专案工程的设计及图面绘制。,本科,2年及以上,建筑/建材/工程,2026-02-25,2026-04-25,生产制造/汽车
