编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期
3433,上海瑾亭化妆品有限公司,翔港科技,印刷和记录媒介复制业,生产线长,上海,6000.0,10000.0,1、协助主管组织召开班前会、班后会 2、根据工艺标准书要求合理安排人员 3、组织领料、监督正确放置物料和正确用料 4、做好生产前检查和车间清线清场工作，车间6S实施工作 5、与QC人员一同做好首件工作，并签字确认 6、根据工艺要求做好本车间生产设备、工具清洗、消毒工作 7、在生产过程中，随时检查岗位员工的规范操作，及时处理生产和品质异常，并跟踪异常处理情况，及时向主管汇报 8、做好本车间设备使用和安全操作工作 9、协助主管对本车间各岗位员工的培训工作 10、熟练粉类机器操作，包装机器操作 11、完成主管安排的其他工作 任职要求： 1.要求：有一定的组织和协调能力，工作细心、责任心强 2.经历：有一年以上化妆品生产管理工作经验,初中及以下,1年及以上,快速消费品(食品、饮料、化妆品),2026-02-26,2026-04-26
3438,广东天元实业集团股份有限公司,天元股份,印刷和记录媒介复制业,审计专员,东莞,8000.0,10000.0,"1、参与集团内审建设和风险评估管理，根据部门计划开展内审业务: 2、定期检查公司管控制度和业务流程，对公司内控的健全性、有效性进行评估: 3、定期对财务业务，包括票据、结算、成本、进出项等业务进行检查，对业务合法性和合规性进行评价，出具审计报告: 4、自主立项开展审计工作，对公司业务流的合理性和合规性进行分析和评价，出具审计报告，提出改善建议，跟进落实整改: 5、领导安排的其他工作。 技能要求: 1、具备3年以上审计工作经验,熟悉内部审计工作开展流程 2、熟悉国家财政政策、会计准则，精通审计、财务、会计及相关税务法律法规: 3、熟悉制造业业务流程以及会计核算方法，熟悉制造企业成本核算办法: 4、熟练使用办公软件以及 SAP等工具，文字表达能力优秀: 5、具备良好的逻辑思维分析能力，为人正直、责任心强、具备团队合作精神。 （ ）",本科,3年及以上,印刷/包装/造纸,2026-02-06,2026-04-06
3479,上海翔港包装科技股份有限公司,翔港科技,印刷和记录媒介复制业,客服跟单员,上海,6000.0,7000.0,1、负责对客户订单及时接收、审核、录入，处理客户退货、投诉、咨询、建议； 2、与生产部、物流部进行沟通，询问产品进度、确认订单产品库存量，准确开据送货单至物流部备货，对订单发运进行跟进、追踪； 3、准确核对客户各项销售款项，开据发票清单交至财务部开据发票，并对发票信息审核、确认无误寄送发票； 4、定期对客户资料各项数据进行统计，上报主管及相关部门； 5、加强与客户的沟通和协调能力，为客户提供良好的服务，提升客户满意度； 6、完成上级领导安排的其它工作。 岗位要求： 1、相关客服跟单工作经验2年以上； 2、熟练使用office办公软件； 3、有良好的沟通能力和团队协作力；高度的责任心和客户服务意识； 4、积极进取，抗压能力强，需加班。,大专,2年及以上,印刷/包装/造纸,2026-02-26,2026-04-26
3464,广东天元实业集团股份有限公司,天元股份,印刷和记录媒介复制业,审计会计,东莞,7000.0,10000.0,岗位职责： 1、对集团及各分子公司的生产经营、管理活动及经营成果进行审计评价； 2、对各职能部门开展履职情况评价； 3、对集团内部管理控制体系的建立、健全、执行情况进行评审； 4、根据公司运行情况对薪资、生产报工、设备维修、财务数据等真实性进行专项审计； 5、完成上级交办的其他工作。 任职要求： 1、具有本科及以上学历，审计、财务、会计类相关专业，中级以上职称优先，审计类资格证书更好； 2、具有3年以上制造业财务相关管理。会计核算或内部审计工作经验，对制造业内部审计工作有一定认识，掌握一定的审计方法； 3、熟悉国家财经法规、审计法规和内部审计准则、企业管理制度，能够独立或协助完成各类审计项目、出具审计报告； 4、具备高尚的职业道德和较强的沟通、协调能力，一定的分析和写作能力，原则性强。。 （更多数据，详见）,本科,2年及以上,印刷/包装/造纸,2026-02-26,2026-04-26
1477,海尔消费金融有限公司,美凯龙,商务服务业,法诉专员,青岛,4000.0,6000.0,岗位职责 1、根据公司安排，对公司相关金融借款类案件的诉讼、执行等司法处置提供支持； 2、及时反馈所在团队、法院需要协助解决的问题，跟进至闭环； 3、案件跟进：准备案件材料，推进案件进入司法处置，解决司法处置中出现的问题； 5、完成公司安排的其他工作。 任职要求 1、本科及以上学历； 2、法学专业或者有金融行业法律服务工作经验者优先； 3、具有较强的合作能力、逻辑分析能力、敏感度，有较强的沟通表达能力,本科,1年及以上,金融/投资/证券,2026-01-08,2026-03-08
1447,外企德科人力资源服务安徽有限公司,北京人力,商务服务业,大客户销售-大众安徽（车企）,广州,15000.0,20000.0,1. 负责区域内大客户业务拓展，重点挖掘区域内租赁公司、政府机关单位，教师及医疗卫生行业的大客户资源； 2. 开拓挖掘与本品牌相契合的异业合作； 3. 负责推进当地政府采购、企业集采及员工内购活动，并协助制定落地方案； 4. 做好政企关系维护和定期回访，促进长期稳定的良好合作关系； 1.工作经验 三年以上主机厂区域大客户开发，或者五年以上经销商集团大客户业务管理经验，有区域内租赁公司、政府机关单位，教师行业、医疗卫生行业资源者，优先考虑； 2.专业技能 具备基础商务沟通与协调能力； 熟练使用Excel、PowerPoint等办公软件。 3.综合素质 细心、主动、责任感强，善于学习新知识； 具备团队合作精神及一定抗压能力，愿意接受多任务并行工作。,本科,5年及以上,咨询服务,2026-02-28,2026-04-28
1469,外企德科数字技术有限公司,北京人力,商务服务业,广告投放运营,北京,9000.0,12000.0,岗位职责 1.负责广告投放项目的日常数据监测，把控各渠道拉新节奏，对广告投放项目的进度、成本、目标完成度负责 2.负责广告投放的素材把控，策略执行落地，实验数据回收 3.负责广告投放各个渠道的商务事项 岗位基本需求 1.专科及以上学历，工作2年以上 2.熟悉信息流广告投放，有代理商优化师、甲方投放运营经验优先 3.熟悉数据分析工具，具备良好的数据分析能力 4.工作积极主动、严谨细心、执行能力强，有责任心和良好的沟通表达能力,大专,5年及以上,专业技术服务,2026-02-03,2026-04-03
1478,大连博涛文化科技集团股份有限公司,中青旅,商务服务业,机械项目经理,大连,6000.0,10000.0,工作要求： 1..熟练掌握及应用机械、工业设计软件 2.理科方向工业设计或机械设计专业 3.责任心强有良好的沟通能力和团队协作精神，动手调试能力强 岗位职责； 1对于公司游乐产品的设计生产管理参与产品的前期方案制定、方案确定、工期制定等工作； 2.监管产品的生产进度以及对外联系 3.负责公司的产品协调、技术资源共享 4.指导产品的完成、落地、交付,大专,5年及以上,机械/设备/重工,2026-01-19,2026-03-19
4916,北京和展能源有限公司,*ST 和展,土地管理业,土建工程师,石家庄,10000.0,15000.0,1、岗位职责 （1）负责建筑、吊装工程安全、质量、进度控制工作。 （2）负责编制建筑、吊装工程进度计划，跟踪落实实施。 （3）负责编制建筑工程质量工艺策划，落实实施。 （4）参加建筑工程施工招标工作，落实材料设备排产、供应及进场时点。 （5）负责建筑工程资料收集和工程各工序及阶段性验收工作，负责监理实施细则、施工组织设计及专项方案的审核工作。 （6）负责与建筑、吊装工程相关的进度款支付审核工作。 （7）协助施工过程中建筑、吊装工程洽商与变更的工程量审核工作。 （8）配合成本部进行建筑工程结算工作。 （9）负责建筑工程施工图纸的审核与优化工作。 （10）协助在建筑施工过程中对主要施工材料的询价工作 （11）协助成本部进行施工单位决算书工程量的审核工作。 （12）负责环保、水保的现场指导工作。 （13）与各部门专责协同，完成项目建设。 （14）配合风电场并网手续办理工作。 （15）配合监理工作，管控参建方工作质量。 2、任职资格 （1）土木工程类相关专业本科以上学历，具备建造师资格优先。 （2）10年以上土建专业施工现场技术质量岗位管理工作经验，有风电项目工作经验。 （3）了解风电工程基本施工流程，熟悉建筑工程专业国家规范、标准、图集等技术文件。 （4）熟练掌握办公软件及工程相关软件。 （5）有较强的组织协调能力与良好的沟通能力。 （16）完成领导安排的其他工作。,本科,10年及以上,新能源,2026-03-04,2026-05-04
4910,北京和展能源有限公司,*ST 和展,土地管理业,项目总工,石家庄,8000.0,12000.0,来源：百度。岗位要求： 1、在项目经理的要求下，负责项目部技术、质量管理工作，对工程技术、质量负全面技术责任； 2、组织贯彻执行国家和上级颁发的技术规范、规程、标准及有关规定。 3、组织编制并审核项目的施工组织设计、专项施工方案、技术措施、并随时检查、监督和落实。 4、负责组织图纸会审、技术交底和技术复核工作。 5、负责组织项目质量计划的编制、审核、修改工作。 6、负责组织项目质量检查，主持质量事故的调查和处理，监督制定纠正和预防措施的实施情况。 7、主持项目的技术、质量工作会议，领导和组织技术、质量人员学习业务，不断提高技术、质量人员素质。 8、完成领导交办的其它事项。 任职要求： （1）专科及以上学历，电力系统及其自动化等相关专业；（优秀的可适当放宽学历） （2）5年以上电力工程技术管理经验，能主导项目技术方案设计、技术难题攻克； （3）熟悉电力工程施工规范及验收标准，有风电、光伏、储能项目总工经验优先。 （4）需持有一级建造师（全国）/二级建造师（河北）（建筑/机电/电力）证书，特别优秀适当放宽。 （5）具备技术团队带领经验。 （6）C1驾驶证。,大专,8年及以上,新能源,2026-01-24,2026-03-24
4914,北京和展能源有限公司,*ST 和展,土地管理业,电气工程师,石家庄,10000.0,15000.0,1、岗位职责 （1）负责所属项目电气安装、调试工程安全、质量、进度控制。 （2）编制电气安装工程进度计划，跟踪落实实施。 （3）负责编制电气安装、调试工程质量工艺策划，落实实施。 （4）参与编制电气工程招标文件，收集并审核设备技术规范书，参加电气安装工程施工招标工作，参与电气设备技术规范书及设备技术协议签订工作。 （5）参与电气设备合同审核，负责落实材料设备排产、供应及进场时点。 （6）负责电气安装、调试工程工序及各阶段验收工作，负责监理实施细则施工组织设计及专项方案的审核工作。 （7）负责与电气安装工程相关的进度款支付审核工作。 （8）协助施工过程中电气安装工程洽商与变更的工程量审核工作。 （9）配合成本部进行电气工程结算工作。 （10）负责电气安装施工图纸的审核与优化工作。 （11）协助在电气安装、调试施工过程中对主要施工材料的询价工作。 （12）协助成本部进行施工单位决算书工程量的审核工作。 （13）负责环保、水保的现场指导工作。 （14）与各部门专责协同，完成项目建设。 （15）负责风电场并网手续办理工作。 （16）配合监理工作，管控参建方工作质量。 （17）完成领导安排的其他工作。 2、任职资格 （1）电气工程类相关专业本科以上学历，具备建造师资格优先。 （2）10年以上机电安装专业施工现场技术质量岗位管理工作经验，有3个以上风电工程相关工作经验。 （3）熟悉风电工程施工流程，熟悉机电安装专业国家规范、标准、图集等技术文件。 （4）熟练掌握办公软件及工程相关软件。 （5）有较强的组织协调能力与良好的沟通能力。,本科,10年及以上,新能源,2026-03-04,2026-05-04
4909,北京和展能源有限公司,*ST 和展,土地管理业,人力行政经理,北京,15000.0,25000.0,"岗位职责: 1、参与制定公司的人力资源体系，对公司的人力资源做出优化建议，了解公司中短期经营战臵目标，根据目标定期更新公司组织架构; 2、根据公司人才的需要，完成人才招聘工作，并合理配置招聘预算 3、协助制定合理的薪酬福利制度，能够对品工起到良好的激励作用; 4、帮助公司促进员工关系建设，协助各部门做好国队建设，提出有效的国队激励政策 5、处理人力资源各项事务性工作; 6、企业行政规章制度制定与管理: 7、行政事务性管理工作，安排公司各项会议、活动等, 8、行政资产管理，对公司的行政性资产进行妥善保管、按照制进行采购、发放等 9、领导卖排的其他工作。 任职要求: 1、本科及以上学历，211或985院校优先; 2、专业:人力、文秘、法律、工商管理等相关专业; 3、工作满3-5年，具备上市企业人力、行政工作经验者优先, 4、具有较好的文字撰写能力与迈辑思维, 5、熟练运用Word、Excel、PPT等基础力公软件 6、工作认真细致，务实，具备较强的责任心; 7、具备较强的沟通、组织协调能力。",本科,5年及以上,新能源,2026-02-27,2026-04-27
347,中建安装集团有限公司,中国建筑,土木工程建筑业,商务管理岗,深圳,8000.0,10000.0,1.负责工程投标预算或工程量清单报价的编制及相关工作。 2.负责项目日常预算(洽商报价等)工作和竣工结算报价编制及核对洽谈工作。 3.负责项目对内劳务分包、专业分包结算审核工作。 4.负责项目成本控制相关工作。 5.负责按公司要求提供各类预算数据分析。 6.服从公司对工作的机动安排，完成领导交办的其他工作。,本科,经验不限,建筑/建材/工程,2026-03-04,2026-05-04
406,上海市园林设计研究总院有限公司,上海建工,土木工程建筑业,商业策划专员,上海,5500.0,10000.0,2026届硕士、博士毕业生及优秀本科毕业生，校内有三人团队商业策划经验优先 专业要求：市场营销、旅游管理、文化产业管理等相关专业 核心能力： 1.具备商业业态规划能力，能结合文旅、园区等项目设计流量变现方案 2.熟悉消费场景搭建逻辑，可输出从空间规划到运营落地的全流程商业策划 3.掌握市场调研与数据分析方法，能为项目盈利模型提供数据支撑 4.加分项：有文旅项目实习经验；具备商业地产或主题乐园运营知识,本科,经验不限,建筑/建材/工程,2026-01-19,2026-03-19
361,民航机场建设工程有限公司,中国交建,土木工程建筑业,商务预算（校招）,天津,5000.0,8000.0,1、身心健康，成绩优异。 2、具备良好的道德修养、扎实的专业知识、较强的实践能力。 3、具备较好的理解、沟通和组织能力，具有较强团队协作和吃苦耐劳精神，服从分配。 4、中共党员、学生干部优先。 5、工程造价、工程预算专业。,大专,经验不限,建筑/建材/工程,2026-03-04,2026-05-04
343,中国化学工程第六建设有限公司,中国化学,土木工程建筑业,计划工程师,银川,8000.0,15000.0,1.制定项目计划，确定项目的里程碑和关键路径。监督项目进度，确保项目按计划进行。跟踪项目进展，及时识 别和解决项目中的延迟和风险； 2.管理项目预算，确保项目的成本控制在可接受范围内。跟踪和分析项目支出，提出必要的成本调整建议； 3.进行项目风险评估，识别潜在风险并制定风险应对策略。监督项目风险，并及时采取措施以最小化风险对项目 的影响； 4.管理项目变更请求，评估变更对项目的影响，并制定变更实施计划。确保变更过程遵循适当的规定和流程； 5.确定WBS工作分解结构用于指导完成项目工作分解； 6.全日制本科及以上学历，3年及以上岗位相关工作经验，条件特别优秀者，可适当放宽，具有较好的沟通表达能力、组织协调能力与管理能力，身体健康，能够适应施工一线管理需求，具有团队合作精神和服务意识。 7.认同中国化学六化建企业文化，服从工作安排，有事业心和责任感。 8.完成分公司领导及项目经理交办的其它工作；。来自：,本科,3年及以上,建筑/建材/工程,2026-01-20,2026-03-20
3748,中外运物流有限公司,外运发展,多式联运和运输代理业,业务项目管理主管(J29229),宁波,4000.0,8000.0,工作职责: 1.负责运营项目日常运作，包含现场、账务、系统、客户联系等； 2.负责供应商及车队基础管理，包含资质、安全、信息台账等； 3.完成项目经理安排的工作事务及指标等。 任职资格: 1.全日制大学专科及以上学历； 2.身体健康，无酗酒、赌博等不良嗜好，积极主动、吃苦耐劳、脚踏实地、愿意从基层岗位做起； 3.一年以上物流现场作业经验，熟练掌握物流管理、供应链管理及相关业务知识，熟悉数据分析工具、office软件; 4.团队合作、沟通表达、学习能力、抗压能力和适应能力较强； 5.认同文化、愿意与公司共同发展，服从公司人才统筹规划安排。,大专,1年及以上,交通/运输/物流,2026-02-14,2026-04-14
3755,中外运物流有限公司,外运发展,多式联运和运输代理业,外运物流-华中区域-单证员,合肥,4000.0,6000.0,"一、任职资格 1、全日制大专及以上，专业不限，有物流相关工作经验优先。 2、文字能力：具备基础书面文字能力，可独立完成日常陈述性文书书写。 3、计算基础：可以熟练使用办公软件(包含 Word,Excel,PPT)。 4、沟通协调：善于多方沟通，能有效化解相关方分歧，快速，妥善处理运输途中的各类物流/单证异常问题。 5、性格特质：乐观积极，善于团队协作，与人相处融洽，乐于采纳合理意见和建议。 6、逻辑思维：具备清晰的工作逻辑，能快速梳理工作关键节点，做事有条不紊。 二、工作职责 1、及时准确处理运输项目涉及的发运数据、账单数据等。 2、快速处理运输项目涉及的异常问题及客户投诉。 3、及时跟客户、供应商完成对账。",大专,1年及以上,交通/运输/物流,2026-01-30,2026-03-30
3695,中国外运股份有限公司,中国外运,多式联运和运输代理业,高级客户经理,邯郸,7000.0,14000.0,岗位职责： 1.聚焦制造、电商、快消、工程及国际物流等核心行业，独立开拓高价值客户，定制仓储、运输配送及供应链优化一体化合同物流解决方案。 2.主导大中型项目全流程商务谈判，统筹投标分析、方案报价、合同拟定及利润与风险管控，推动项目签约落地。 3.深度维护战略客户关系，挖掘二次销售与增值业务机会。 4.跨部门协同运营、方案设计、财务等团队，保障客户需求精准落地。 任职要求： 1.3 年以上合同物流或供应链解决方案销售经验，有从 0 到 1 的客户及项目开发成功案例。 2.持有有效驾驶证，能接受商务出差，具备优秀商务接待与对外沟通形象素养。 3.在化工、汽车、医药、冷链等目标行业拥有成熟客户资源或人脉。 4.精通物流成本分析、方案制作、价格策略及商务谈判，兼具销售能力与运营思维。。 （更多数据，详见）,大专,5年及以上,客运服务,2026-02-28,2026-04-28
3740,中外运物流有限公司,外运发展,多式联运和运输代理业,外运物流-国际供应链-运价采购,上海,10000.0,20000.0,工作职责: 1. 根据公司规划，通过与船公司、船东等的合作拓展航线运力，努力保障公司运力需求的达成，并具有市场竞争和性价比优势； 2. 参与航线产品的设计、开发、渠道、定价、实施等，对公司现有重点航线（中东、北美、拉美、东南亚、环地中海）进行优化改进； 3. 落实运价询报价流程，负责所辖航线上相关运力供应商的关系维护和运价合约协商签定，降低运价采购成本，协调合约执行过程中船东端的各类事务； 4. 了解航线船公司挂港情况、优劣特点，与船公司及货代庄家保持良好的关系，做好海运市场行情定期收集及汇总； 5. 与销售同事及其他部门做好沟通，了解客户发运需求，做到报价快准全，处理好询价、订舱、突发问题处理等工作； 6. 负责协调各种内部、外部资源，解决关于运价、仓位等重大问题，为各个业务单位的运价采购提供必要指导，提高客户满意度； 7. 完成领导交办的其他工作。 任职资格: 1. 专科及以上学历，海运、物流等相关专业； 2. 熟悉海运航线采购与管理的工作流程，掌握航线资源，熟悉公司重点航线者优先； 3. 具备逻辑分析能力以及货代服务意识； 4. 熟悉常用办公软件，具备较强的沟通技巧，具有商务谈判能力、有一定的抗压能力； 5. 工作细致、严谨，有良好的职业道德与操守，具有很强的责任心和进取心； 6. 性格开朗，擅于与船公司或同行沟通交流。,大专,3年及以上,交通/运输/物流,2026-02-28,2026-04-28
4017,武汉舒适易佰科技有限公司,索菲亚,家具制造业,产品经理,武汉,10000.0,15000.0,岗位职责： 1、负责产品全生命周期管理，市场调研、用户需求分析，挖掘用户痛点与潜在需求，制定产品规划。 2、负责编制产品需求文档(PRD)、原型设计等工作，清晰传达产品需求至研发、UI、测试等团队，确保各环节对需求的理解一致。 3、协调研发、设计、测试、运营等多团队资源，推进产品开发进度，把控项目质量与上线时间，及时解决项目过程中的问题与风险。 4、跟踪产品上线后的用户反馈，持续优化产品功能与体验，提升产品竞争力与用户满意度。 5、关注行业动态、竞争对手产品策略与市场趋势，定期输出竞品分析报告，为产品迭代与战略调整提供数据支持和决策建议。 任职要求: 1、本科及以上学历，计算机、软件工程、通信、工业设计等相关专业，优秀者可放宽专业条件。 2、熟练掌握Axure原型设计工具，Visio、ProcessOn等流程图绘制工具，以及Word、Excel、PPT等办公软件，善于利用工具提升工作效率与产出质量。 3、较强的逻辑思维能力、问题解决能力和抗压能力，能应对产品开发过程中的各种挑战。 4、对数据敏感，能通过数据分析发现产品问题并提出优化方案。 5、对AI有一定的了解，能够熟练使用AI工具来辅助工作。来自：,本科,3年及以上,互联网/电子商务,2026-03-02,2026-05-02
4023,宁波览逸括维网络科技有限公司,浙江永强,家具制造业,亚马逊运营专员,宁波,8000.0,13000.0,"工作职责： 1、 管理店铺运作,及确保店铺的各项运作达到公司标准; 2、 执行公司各项政策，按计划有效的制定公司年/季/月度销售，组织领导下属完成长期和短期目标； 3、 规划，监督及控制营运费用和应收账款；根据公司下达的销售任务，制定全年的销售费用预算，做好销售成本和费用的控制； 4、 确保所负责的店铺得到有效的库存管理，监督店铺间的运转； 5、与设计、开发、测试、项目团队紧密配合，组织协调各方资源，推进达成产品目标； 任职要求： 1、1-3年亚马逊运营工作经验，户外家具行业经验优先； 2、有良好的数据分析能力和沟通表达能力； 3、工作认真，具有积极乐观的工作态度，能承受工作压力并富有成效地工作； 4、责任心强，有独当一面的能力；",本科,3年及以上,贸易/进出口,2026-01-04,2026-03-04
3965,梦百合家居科技股份有限公司,梦百合,家具制造业,网红营销(J11946),上海,8000.0,15000.0,工作职责: 1. 负责挖掘和搭建美国市场的KOL、KOC达人资源库，并与适配达人洽谈合作，并确保合作关系的顺利进行。 2. 针对不同平台达人特点，与达人共同制定创意和内容方案，全程把控内容质量，确保内容符合品牌调性，并为转化效果负责； 3. 监督网红营销活动的执行进度，包括但不限于合同签署、寄样、物流追踪、结算等工作； 4. 收集和分析营销活动的数据，包括曝光量、点击率、转化率、ROI等指标，提炼产出SOP并持续优化内容策略，提升推广效果； 5. 持续关注美国红人市场的发展动态和营销趋势，包括社会热点话题及趋势，及时调整和优化达人营销策略。 任职资格: 1. 本科及以上学历，良好的英语读写能力，可将英语作为工作语言。 2. 有1+年外贸公司或Agency/MCN相关工作经验者优先，了解欧美流行文化、有海外留学经历者优先。 3. 熟悉Instagram/Youtube/Pinterest/TikTok等海外主流社媒平台玩法，具备一定的内容创意和营销策划能力。 4. 具备较强执行力和数据分析能力，能够熟练运用数据分析工具，对营销活动效果进行评估和优化。 5. 对跨境电商行业或者海外市场营销有强烈的兴趣和热情，能够持续学习和不断提升自己的专业能力。,本科,1年及以上,电子技术/半导体/集成电路,2026-03-03,2026-05-03
4009,索菲亚家居股份有限公司,索菲亚,家具制造业,物流经理,广州,20000.0,30000.0,"岗位职责： 1、参与制定集团的物流整合方案，并推进物流整合方案的实施和异常问题的处理，及持续优化物流整合方案，提升物流运营质量和服务水平 2、选择适合集团公司业务发展需求的优质物流承运商，降低物流成本，提升物流运营质量 3、赋能经销商提升仓储管理水平和末端城配物流运营质量，降低运损 4、管理物流承运商的日常运作和异常处理,以及物流承运商的KPI考核 5、物流业务数据收集、整理以及分析，定期输出运营质量报告 6、完成部门交办的其他工作 任职要求： 1、本科及以上学历，物流、供应链管理或相关专业背景； 2、5-10年物流管理经验，具备丰富的运输及配送管理经验； 3、熟悉物流行业运作流程，了解相关法律法规； 4、年龄在16-35岁之间，有较强的责任心和团队合作精神。 5、具有较强的沟通协调能力，能够独立组织处理异常的沟通会议； 6、具有较强数据处理能力，对数据具有良好的敏锐度； 7、具有较强的抗压力，能接受长期出差； 8、具备项目规划、统筹经验。",本科,8年及以上,家具/家电/玩具/礼品,2026-03-03,2026-05-03
4584,华谊兄弟传媒股份有限公司,华谊兄弟,广播、电视、电影和录音制作业,影院店长（北京）,北京,10000.0,15000.0,工作职责： 1、统筹计划： - 负责影院年度经营指标的月度分解，并按月、季、半年进行追踪，确保经营指标的完成； - 定期向区域、影投总部汇报经营计划执行情况、盈亏情况、机构和人员调配情况及其他重大事宣。 2、业务管理与执行： - 落实影投总部以及区域的经营策略以及要求； - 关注经营成本、优化运营流程，不断提升观众观影体验； - 独立完成日常店面的值班以及管理工作。 3、团队管理： - 搭建影院经营团队，及团队成员的选、用、育、留； - 影院核心岗位的梯队建设、业务技能培训、管理培训以及发展。 4、日常管理：店内日常管理，以及监督、检直染团、影投各以营埋制度、规范在店内的落实、执行。 5、安全管理： - 制订各类安全预案，加强安全培训，培养员工安全意识； - 杜绝发生消防安全事故及重大安全事故，避免其他等级安全事故的发生 重要政府、媒体、合作方等的关系维护，提升华谊兄弟影院品牌知名度及影响力。 6、其他：领导安排的其他临时性任务。 任职要求： 1、大学专科（含）以上教育经历，管理类（酒店管理、工商管理）相关专业； 2、5年以上连锁服务行业从业经验，2年以上单店负责人的岗位经历，具有良好的管理经历及经营业绩； 3、熟练应用OFFICE及相关办公软件；具备基础财务管理知识； 4、具有丰富的团队管理能力，具备全局思维和市场洞察，成就导向，具备优秀的分析解决问题的能力，善于团队协作，具有高效的执行力； 5、具备良好的沟通表达能力；具备主动学习的能力；逻辑性强；性格开朗、主动热情、具备同理心：有责任心、吃苦耐劳；抗压性强。,大专,5年及以上,影视/媒体/艺术/文化传播,2026-02-06,2026-04-06
4587,浙江正蓝节能科技股份有限公司,东望时代,广播、电视、电影和录音制作业,暖通设计师（方案设计）,杭州,6000.0,9000.0,职责： 1、负责工程项目的招标文件梳理和对接事项； 2、负责投标文件准备及标书的制作； 3、负责设计方案落实及工程预算； 4、负责项目决算和移交工作； 5、完成上级安排的其他事项。 要求： 1、统招本科学历，熟练CAD，有2年及以上暖通，建筑设计经验； 2、较强的责任心，抗压能力，现场沟通协调能力优； 【福利】 1、五险：入职即享受齐全的社会保险，包括养老、医疗、失业、工伤、生育； 2、团队福利：全体一年2次集体出游，享受轻松快乐的出游活动； 3、活动福利：公司设有活动基金，定期组织各类公司团建及部门活动（旅游、聚餐、K歌、酒吧、拓展等等）； 4、奖励福利：设有各类岗位绩效奖励，优秀员工奖励，年终奖励等； 5、带薪假日：除国家法定的节假期外，还享受带薪婚假、丧假、哺乳假、产假等等； 6、生日福利：鲜花、购物卡，除了妈妈记住你的生日，更有行政***时刻惦记哟~ 7、其他福利太多，高温、三节豪放节日礼，让你惊呆！ 8、【最重要一项】超长18天带薪春节年休假！！！！ 【最重要一项】超长18天带薪春节年休假！！！！ 【最重要一项】超长18天带薪春节年休假！！！！,本科,2年及以上,建筑/建材/工程,2026-03-02,2026-05-02
4555,上海万达国际电影城有限公司,万达电影,广播、电视、电影和录音制作业,城市安维主管（驻店维修）,上海,5800.0,6300.0,【工作内容】 - 负责就近区域影城门店内各类设备的日常维护与故障排查； - 负责影城用电、水暖器材、照明等设施设备的安装、维护、维修工作，确保安全正常运行； - 负责影城空调设备的日常检修和保养，季节变化时控制系统的设置、调整，做好维修保养记录及设备故障记录； - 定期检查影城的所有设施、设备，及时处理各部门提出的维修的项目，对不能解决的故障应及时书面向管理组报告异常状况； - 按照标准流程进行设备检修及保养，确保设备正常运行； - 配合及监督承建商完成影城重大放映活动的装饰中工程部分； - 负责大型会议、首映式及演员见面会的相关工程部分工作，及小型电器的安装和改造工作等； - 负责记录水、电、空调计量表的读数，有效控制影城维修费用； - 定期整理维修记录，配合团队完成相关报表； - 执行政府部分制定的有关行业安全规定，执行各级安全制度，并防止安全事故； - 完成上级交办的其他事务。 【任职要求】 - 必须持有低压电工证，中专或职高以上学历、机电维修等相关专业； - 具备2年以上水电及空调维修等相关工作经验； - 工作认真负责，具备良好的沟通能力和服务意识； - 能适应驻店工作，有责任心和团队合作精神； - 掌握OFFICE及相关办公沟通软件基础应用，以完成工作对接,中技/中专,2年及以上,影视/媒体/艺术/文化传播,2026-01-09,2026-03-09
4564,广州金逸影视传媒股份有限公司,金逸影视,广播、电视、电影和录音制作业,影城兼职/实习（海珠-六元素店）,广州,3262.0,3262.0,一、薪酬： 1、100-150元/天 2、工资月结，每月15日发工资。 二、工作内容 1、兼职工作：卖品、票房、场务等轮岗工作； 2、实习岗位：市场、卖品、放映、现场管理等方向轮岗学习。 三、任职要求： 1、大专及以上在校生或应届毕业生优先； 2、良好的学习能力、沟通能力、抗压能力，积极的团队精神。 3、服务业经验者优先； 4、春节等节假日期间能提供工作时间者优先； 5、能接受轮班制出勤者优先. 四、福利： 1、实习福利：提供实习证明、优秀者优先转正或直升训练员/主管，全周期职业规划 ; 2、转正福利：轮班双休、节日福利、生日福利、福利观影、明星见面会。 五、工作地点： 1、广州六元素店：新港东路1088号六元素体验天地5楼,大专,经验不限,影视/媒体/艺术/文化传播,2026-01-30,2026-03-30
